make,model,type,year,fuel_type,daily_rate,status,location_city,location_state,location_latitude,location_longitude
Porsche,Panamera,car,2018,GASOLINE,250,,Atlanta,GA,33.749752,-84.400123
Tesla,Model X,suv,2016,ELECTRIC,150,,Atlanta,GA,33.884486,-84.463509
Porsche,Cayenne,suv,2017,HYBRID,202,,Snellville,GA,33.809233,-84.047014
Porsche,718 Cayman,car,2017,GASOLINE,135,,Marietta,GA,33.91812,-84.554541
Tesla,Model 3,car,2019,ELECTRIC,151,,Alpharetta,GA,34.067805,-84.213456
Porsche,Cayenne,suv,2011,GASOLINE,110,,Atlanta,GA,33.927373,-84.342797
Jaguar,F-TYPE,car,2016,GASOLINE,300,,Kennesaw,GA,34.019483,-84.565131
Ford,Fiesta,car,2017,GASOLINE,32,,Atlanta,GA,33.648408,-84.45384
Chevrolet,Camaro,car,2016,GASOLINE,95,,Atlanta,GA,33.927706,-84.342776
Audi,TTS,car,2017,GASOLINE,150,,Snellville,GA,33.807028,-84.045642
BMW,X4,suv,2017,GASOLINE,60,,Kennesaw,GA,33.990955,-84.628724
Dodge,Charger,car,2017,GASOLINE,129,,Atlanta,GA,33.927656,-84.343058
Mercedes-Benz,C-Class,car,2016,GASOLINE,82,,Fairburn,GA,33.621941,-84.65349
GMC,Yukon,suv,2019,GASOLINE,105,,Atlanta,GA,33.776511,-84.408414
Tesla,Model 3,car,2019,ELECTRIC,147,,Atlanta,GA,33.713244,-84.502636
Chevrolet,Suburban,suv,2011,GASOLINE,122,,Atlanta,GA,33.68153,-84.407289
Toyota,Corolla,car,2020,GASOLINE,49,,Atlanta,GA,33.63415,-84.454896
Porsche,Boxster,car,2015,GASOLINE,139,,Peachtree City,GA,33.402177,-84.563264
Tesla,Model 3,car,2019,ELECTRIC,149,,Duluth,GA,33.992062,-84.154258
Mitsubishi,Mirage,car,2014,GASOLINE,37,,Atlanta,GA,33.772126,-84.419021
Chevrolet,Corvette,car,2017,GASOLINE,180,,Marietta,GA,33.914354,-84.48546
Porsche,Panamera,car,2016,GASOLINE,165,,Atlanta,GA,33.66857,-84.417392
Land Rover,Range Rover,suv,2016,DIESEL,211,,Atlanta,GA,33.910368,-84.483288
BMW,4 Series,car,2014,GASOLINE,120,,Atlanta,GA,33.811362,-84.452952
Lexus,IS 200t,car,2016,GASOLINE,99,,Atlanta,GA,33.783971,-84.383664
Chevrolet,Suburban,suv,2012,GASOLINE,127,,Atlanta,GA,33.682324,-84.409111
Nissan,Versa,car,2017,GASOLINE,32,,Atlanta,GA,33.647684,-84.453383
Maserati,Ghibli,car,2017,GASOLINE,200,,Woodstock,GA,34.070795,-84.528949
Jaguar,F-TYPE,car,2014,GASOLINE,386,,Mableton,GA,33.80541,-84.526445
BMW,4 Series,car,2015,GASOLINE,94,,Bremen,GA,33.735152,-85.143922
Dodge,Challenger,car,2019,GASOLINE,89,,Atlanta,GA,33.927733,-84.342829
Audi,A7,car,2017,GASOLINE,137,,Atlanta,GA,33.667803,-84.418423
Ford,Mustang,car,2014,GASOLINE,97,,Newnan,GA,33.394151,-84.732845
Maserati,Ghibli,car,2017,GASOLINE,160,,Lithonia,GA,33.723632,-84.092345
Audi,Q7,suv,2015,DIESEL,108,,Douglasville,GA,33.72414,-84.732501
Acura,MDX,suv,2016,GASOLINE,135,,Douglasville,GA,33.63681,-84.827506
Ford,Mustang,car,2018,GASOLINE,128,,Conyers,GA,33.57398,-83.997441
Tesla,Model S,car,2015,ELECTRIC,167,,Atlanta,GA,33.992527,-84.341541
Hyundai,Accent,car,2017,GASOLINE,42,,Decatur,GA,33.723657,-84.168811
Dodge,Challenger,car,2018,GASOLINE,85,,Atlanta,GA,33.92741,-84.342783
Maserati,Ghibli,car,2015,GASOLINE,130,,Atlanta,GA,33.66851,-84.418445
Tesla,Model S,car,2013,ELECTRIC,115,,Peachtree City,GA,33.370201,-84.530407
Kia,Rio,car,2020,,28,,Atlanta,GA,33.595022,-84.422693
Nissan,Altima,car,2018,GASOLINE,48,,Atlanta,GA,33.850201,-84.366107
Tesla,Model X,suv,2017,ELECTRIC,350,,Mableton,GA,33.813345,-84.529672
Mercedes-Benz,S-Class,car,2014,GASOLINE,200,,Woodstock,GA,34.070353,-84.529444
Tesla,Model 3,car,2018,ELECTRIC,179,,Decatur,GA,33.814368,-84.258781
Volkswagen,Jetta,car,2011,GASOLINE,48,,Atlanta,GA,33.822774,-84.37176
Volkswagen,New Beetle,car,2008,GASOLINE,64,,Decatur,GA,33.753546,-84.234219
Porsche,Cayenne,suv,2017,GASOLINE,172,,Atlanta,GA,33.787378,-84.387736
Chevrolet,Silverado 1500,truck,2017,GASOLINE,150,,Atlanta,GA,33.683468,-84.538252
Tesla,Model 3,car,2020,ELECTRIC,149,,Duluth,GA,34.037805,-84.171103
Kia,Optima,car,2016,HYBRID,44,,east point,GA,33.659394,-84.476251
Porsche,Macan,suv,2017,GASOLINE,120,,Atlanta,GA,33.668674,-84.417697
Kia,Sorento,suv,2014,GASOLINE,38,,Fairburn,GA,33.580143,-84.643162
Jeep,Wrangler,suv,2017,GASOLINE,82,,Stone Mountain,GA,33.792982,-84.194177
GMC,Yukon XL,suv,2019,GASOLINE,112,,Atlanta,GA,33.837361,-84.363373
Porsche,Boxster,car,2015,GASOLINE,149,,Norcross,GA,33.970895,-84.199674
Lexus,IS,car,2020,GASOLINE,80,,Smyrna,GA,33.88,-84.511796
Nissan,Versa Note,car,2015,GASOLINE,39,,Atlanta,GA,33.648355,-84.454283
Mercedes-Benz,CLS-Class,car,2016,GASOLINE,120,,Atlanta,GA,33.668797,-84.419681
Dodge,Charger,car,2020,GASOLINE,87,,Atlanta,GA,33.60241,-84.438334
Kia,Soul,car,2014,GASOLINE,35,,Lithia Springs,GA,33.784387,-84.636909
Volkswagen,Passat,car,2015,GASOLINE,35,,Atlanta,GA,33.582899,-84.471096
Nissan,Altima,car,2016,GASOLINE,51,,Atlanta,GA,33.646342,-84.453593
Hyundai,Elantra,car,2019,GASOLINE,40,,Atlanta,GA,33.878617,-84.456585
Jeep,Grand Cherokee,suv,2019,GASOLINE,89,,Atlanta,GA,33.927371,-84.342878
MINI,Cooper,car,2015,GASOLINE,72,,Smyrna,GA,33.849251,-84.519273
Jeep,Grand Cherokee,suv,2017,GASOLINE,89,,Dunwoody,GA,33.928988,-84.342407
Volkswagen,Passat,car,2012,GASOLINE,40,,Atlanta,GA,33.822646,-84.371718
BMW,i8,car,2016,HYBRID,600,,Atlanta,GA,33.937641,-84.37613
Land Rover,Range Rover Velar,suv,2018,GASOLINE,199,,Sandy Springs,GA,33.934747,-84.365228
Tesla,Model 3,car,2020,ELECTRIC,265,,Mableton,GA,33.806156,-84.52637
Tesla,Model 3,car,2020,ELECTRIC,200,,Dunwoody,GA,33.922219,-84.304205
Tesla,Model S,car,2013,ELECTRIC,120,,Atlanta,GA,33.667415,-84.419198
Toyota,Prius,car,2010,HYBRID,39,,East Point,GA,33.658852,-84.477021
Mercedes-Benz,E-Class,car,2016,GASOLINE,85,,Atlanta,GA,33.667718,-84.419644
BMW,X5,suv,2009,GASOLINE,57,,Atlanta,GA,33.582376,-84.470943
Jeep,Compass,suv,2018,GASOLINE,57,,Atlanta,GA,33.696169,-84.520114
Polaris,Slingshot,car,2017,GASOLINE,226,,Douglasville,GA,33.768065,-84.74567
Chevrolet,Cruze,car,2017,GASOLINE,44,,Decatur,GA,33.721839,-84.169642
Jeep,Wrangler Unlimited,suv,2019,GASOLINE,112,,Atlanta,GA,33.668353,-84.418542
Chevrolet,Camaro,car,2015,GASOLINE,148,,Sandy Springs,GA,33.917415,-84.359627
Mercedes-Benz,E-Class,car,2014,GASOLINE,153,,Atlanta,GA,33.786892,-84.381403
Chrysler,300,car,2018,GASOLINE,74,,Sugar Hill,GA,34.122754,-84.03311
Maserati,Levante,suv,2020,GASOLINE,269,,Sandy Springs,GA,33.934135,-84.364693
Mercedes-Benz,E-Class,car,2012,GASOLINE,129,,Atlanta,GA,33.813481,-84.365042
Jeep,Wrangler,suv,2017,GASOLINE,84,,Atlanta,GA,33.740154,-84.358581
Hyundai,Genesis,car,2014,GASOLINE,58,,Marietta,GA,33.885875,-84.56284
BMW,X5,suv,2015,GASOLINE,150,,Atlanta,GA,33.850502,-84.367464
Nissan,Sentra,car,2017,GASOLINE,33,,Atlanta,GA,33.58197,-84.471549
Toyota,Camry,car,2017,GASOLINE,50,,Decatur,GA,33.709443,-84.266606
BMW,3 Series,car,2011,GASOLINE,47,,Atlanta,GA,33.582189,-84.471143
Toyota,RAV4,suv,2017,GASOLINE,50,,Marietta,GA,33.935586,-84.470631
Chevrolet,Tahoe,suv,2015,GASOLINE,150,,Stockbridge,GA,33.54394,-84.231526
Mazda,MX-5 Miata,car,2016,GASOLINE,99,,Suwanee,GA,34.050037,-84.089022
Dodge,Grand Caravan,minivan,2016,GASOLINE,71,,Conyers,GA,33.661941,-84.088375
Toyota,Camry,car,2018,GASOLINE,56,,Decatur,GA,33.708738,-84.267147
BMW,X4,suv,2020,GASOLINE,140,,Powder Springs,GA,33.901501,-84.674359
Chevrolet,Cruze,car,2017,GASOLINE,45,,Lithonia,GA,33.722747,-84.168365
Lexus,HS 250h,car,2010,HYBRID,64,,Decatur,GA,33.709128,-84.266907
Audi,A4,car,2012,GASOLINE,70,,Atlanta,GA,33.773652,-84.420303
Kia,Optima,car,2013,GASOLINE,52,,Forest Park,GA,33.606816,-84.36688
Toyota,Sienna,minivan,2012,GASOLINE,60,,Decatur,GA,33.709186,-84.265834
Toyota,Camry,car,2020,,67,,Stone Mountain,GA,33.76981,-84.19351
Jeep,Patriot,suv,2015,GASOLINE,48,,Atlanta,GA,33.605798,-84.501351
Mercedes-Benz,CLA-Class,car,2018,GASOLINE,132,,Decatur,GA,33.793057,-84.290081
Toyota,Camry,car,2018,GASOLINE,54,,Decatur,GA,33.707521,-84.267661
Ford,Escape,suv,2017,GASOLINE,63,,Norcross,GA,33.932806,-84.139116
Toyota,Camry,car,2017,GASOLINE,54,,Decatur,GA,33.708748,-84.267983
Chevrolet,Suburban,suv,2019,GASOLINE,176,,Sandy Springs,GA,33.984904,-84.342695
Lexus,IS 250,car,2015,GASOLINE,90,,McDonough,GA,33.466806,-84.216997
Ford,Focus,car,2018,GASOLINE,62,,Norcross,GA,33.932088,-84.14028
Tesla,Model X,suv,2019,ELECTRIC,800,,McDonough,GA,33.504183,-84.169019
Land Rover,Range Rover,suv,2020,,299,,Atlanta,GA,33.753282,-84.466572
Audi,A8,car,2015,,216,,Duluth,GA,34.033443,-84.181063
BMW,4 Series Gran Coupe,car,2016,GASOLINE,99,,Atlanta,GA,33.811329,-84.375881
Nissan,Altima,car,2015,GASOLINE,50,,Covington,GA,33.594282,-83.968334
Ford,F-150,truck,2019,GASOLINE,125,,Marietta ,GA,33.91835,-84.553948
Toyota,Yaris iA,car,2017,GASOLINE,45,,Decatur,GA,33.708559,-84.267069
Buick,LaCrosse,car,2016,GASOLINE,50,,Atlanta,GA,33.772969,-84.419985
Acura,TSX,car,2011,GASOLINE,53,,Snellville,GA,33.855996,-84.032137
Lexus,IS 250,car,2015,GASOLINE,90,,McDonough,GA,33.467875,-84.216673
Volkswagen,Tiguan,suv,2011,GASOLINE,58,,Atlanta,GA,33.772143,-84.418645
Toyota,Camry,car,2008,HYBRID,43,,Decatur,GA,33.707789,-84.26747
Lexus,IS 250,car,2014,GASOLINE,103,,Stonecrest,GA,33.696395,-84.171172
Acura,TSX,car,2011,GASOLINE,52,,Snellville ,GA,33.85478,-84.031592
Toyota,Prius v,car,2012,HYBRID,37,,Austin,TX,30.286223,-97.706597
Volkswagen,Jetta,car,2017,GASOLINE,38,,Austin,TX,30.284071,-97.706141
Kia,Soul,car,2018,GASOLINE,35,,Austin,TX,30.307308,-97.709255
Hyundai,Elantra,car,2015,GASOLINE,37,,Austin,TX,30.306372,-97.70851
Toyota,Prius,car,2010,HYBRID,35,,Austin,TX,30.306573,-97.709083
Toyota,Prius,car,2010,HYBRID,35,,Austin,TX,30.305641,-97.708108
Lexus,HS 250h,car,2011,HYBRID,35,,Austin,TX,30.30624,-97.707401
FIAT,500,car,2012,GASOLINE,35,,Austin,TX,30.284818,-97.705753
Kia,Rio,car,2009,GASOLINE,24,,Austin,TX,30.184719,-97.802598
Toyota,Prius,car,2010,HYBRID,31,,Austin,TX,30.305719,-97.708528
Honda,Accord,car,2011,GASOLINE,32,,Del Valle,TX,30.217927,-97.66203
Lexus,CT 200h,car,2012,HYBRID,41,,Austin,TX,30.285239,-97.706193
BMW,5 Series,car,2016,GASOLINE,58,,Del Valle,TX,30.219193,-97.662154
BMW,3 Series,car,2011,GASOLINE,42,,Austin,TX,30.306388,-97.709561
Mercedes-Benz,C-Class,car,2009,GASOLINE,43,,Austin,TX,30.307395,-97.707145
FIAT,500,car,2013,GASOLINE,34,,Austin,TX,30.286173,-97.706689
BMW,3 Series,car,2016,GASOLINE,49,,Austin,TX,30.307723,-97.708747
Mercedes-Benz,CLA-Class,car,2015,GASOLINE,59,,Austin,TX,30.217598,-97.686914
Lexus,CT 200h,car,2012,HYBRID,38,,Austin,TX,30.285424,-97.705955
BMW,X1,suv,2013,GASOLINE,43,,Austin,TX,30.306435,-97.706873
BMW,3 Series,car,2009,GASOLINE,43,,Austin,TX,30.306629,-97.709578
Mercedes-Benz,CLA-Class,car,2017,GASOLINE,58,,Austin,TX,30.248615,-97.733612
Hyundai,Elantra GT,car,2017,GASOLINE,37,,Austin,TX,30.285107,-97.705221
Hyundai,Sonata,car,2019,GASOLINE,35,,Austin,TX,30.285073,-97.705661
Toyota,Prius c,car,2012,HYBRID,31,,Del Valle,TX,30.218076,-97.662069
Alfa-romeo,Giulia,car,2019,GASOLINE,99,,Manor,TX,30.36918,-97.620406
GMC,Sierra 1500,truck,2016,GASOLINE,89,,Austin,TX,30.300782,-97.712261
Chevrolet,Camaro,car,2018,GASOLINE,60,,Manor,TX,30.342937,-97.526437
Tesla,Model X,suv,2017,ELECTRIC,175,,Cedar Park,TX,30.471685,-97.825615
Toyota,Yaris,car,2008,GASOLINE,32,,Austin,TX,30.307486,-97.70936
BMW,5 Series,car,2018,GASOLINE,107,,Austin,TX,30.175005,-97.785674
Porsche,Boxster,car,2014,GASOLINE,105,,Austin,TX,30.189194,-97.888778
Mercedes-Benz,CLA-Class,car,2018,GASOLINE,80,,Manor,TX,30.369252,-97.620195
Mercedes-benz,GLC-Class,suv,2019,GASOLINE,69,,Austin,TX,30.27461,-97.751945
Chevrolet,Trax,suv,2018,GASOLINE,39,,Austin,TX,30.286542,-97.706306
Chevrolet,Corvette,car,2007,GASOLINE,91,,Austin,TX,30.440669,-97.700369
BMW,4 Series,car,2018,GASOLINE,55,,Austin,TX,30.174308,-97.852839
Mercedes-Benz,C-Class,car,2016,GASOLINE,70,,Austin,TX,30.239613,-97.720512
Land Rover,Range Rover Evoque,suv,2015,GASOLINE,56,,Round Rock,TX,30.554584,-97.762388
Nissan,Sentra,car,2017,GASOLINE,31,,Austin,TX,30.228099,-97.721796
Ford,Mustang,car,2016,GASOLINE,126,,Austin,TX,30.273903,-97.723299
Mercedes-Benz,CLA-Class,car,2017,GASOLINE,80,,Manor,TX,30.369321,-97.620106
Tesla,Model 3,car,2020,ELECTRIC,121,,Leander,TX,30.56407,-97.81567
Tesla,Model 3,car,2020,ELECTRIC,70,,Round Rock,TX,30.509571,-97.651045
Ford,Mustang,car,2014,GASOLINE,35,,Austin,TX,30.316023,-97.712861
Mercedes-Benz,SL-Class,car,2017,GASOLINE,135,,Austin,TX,30.286347,-97.720374
Audi,S5,car,2015,GASOLINE,75,,Austin,TX,30.420479,-97.739445
Tesla,Model S,car,2018,ELECTRIC,199,,Lakeway,TX,30.368803,-97.999417
Toyota,Prius,car,2008,HYBRID,31,,Austin,TX,30.172393,-97.695236
BMW,M4,car,2016,GASOLINE,175,,Austin,TX,30.419931,-97.738037
Volkswagen,Atlas Cross Sport,suv,2020,GASOLINE,59,,Austin,TX,30.170285,-97.854177
Chevrolet,Corvette,car,2019,GASOLINE,129,,Austin,TX,30.249632,-97.855855
Polaris,Slingshot,car,2019,GASOLINE,96,,Leander,TX,30.563432,-97.81463
Dodge,Challenger,car,2015,GASOLINE,87,,Round Rock,TX,30.567746,-97.609215
Ford,Mustang,car,2018,GASOLINE,60,,Round Rock,TX,30.522564,-97.655139
Dodge,Challenger,car,2019,GASOLINE,199,,Austin,TX,30.250087,-97.856532
Mercedes-benz,GLC-Class,suv,2019,GASOLINE,95,,Austin,TX,30.306554,-97.742256
Toyota,4Runner,suv,2016,GASOLINE,60,,Austin,TX,30.246976,-97.775147
Tesla,Model 3,car,2018,ELECTRIC,99,,Round Rock,TX,30.519566,-97.741162
Tesla,Model Y,suv,2020,ELECTRIC,250,,Cedar Park,TX,30.471302,-97.825486
Porsche,Cayenne,suv,2014,GASOLINE,99,,Austin,TX,30.169569,-97.959966
BMW,5 Series,car,2014,GASOLINE,85,,Round Rock,TX,30.559641,-97.677341
Mercedes-benz,C-Class,car,2019,GASOLINE,66,,Austin,TX,30.168224,-97.810317
Mercedes-Benz,E-Class,car,2017,GASOLINE,79,,Austin,TX,30.282214,-97.743103
Chevrolet,Corvette,car,2019,GASOLINE,149,,Austin,TX,30.281295,-97.742729
Tesla,Model 3,car,2019,ELECTRIC,84,,Cedar Park,TX,30.471511,-97.825598
Land Rover,Range Rover Sport,suv,2020,HYBRID,169,,Austin,TX,30.252144,-97.765354
Audi,TTS,car,2010,GASOLINE,65,,Austin,TX,30.380052,-97.879069
Toyota,Prius,car,2009,HYBRID,29,,Del Valle,TX,30.217841,-97.662414
